name,imageCover,price,description
Wonders of Kenya & Tanzania - Mid-Range,https://cloudfront.safaribookings.com/lib/south-africa/tour/1184x259/Idube_Game_Reserve_035.jpg,3450.0,"This tour includes 8 days of an authentic expedition crossing Kenya and Tanzania, the iconic Masai Mara, Serengeti and Ngorongoro. This tour starts in Nairobi and ends in Arusha and can be tailor-made. Depending on the Great Migration location, we can concentrate the tour in Mara or in the Serengeti."
Amboseli National Park Tour,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_044.jpg,210.0,"Crowned by Mount Kilimanjaro, Africa's highest peak, the Amboseli National Park is one of Kenya's most popular parks. The name ""Amboseli"" comes from a Maasai word meaning ""salty dust"", and it is one of the best places in Africa to view large herds of elephants up close. Nature lovers can explore five different habitats here ranging from the dried-up bed of Lake Amboseli, wetlands with sulphur springs, the savannah and woodlands."
Maasai Mara and Diani Beach Luxury Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Diani_Beach_019.jpg,2185.0,"This safari gives you the lifetime opportunity to explore and sample much of what Kenya as a destination has to offer. From wild animals, beautiful sceneries, culture and to the sandy beaches of the Kenyan South Coast ideally situated at the beautiful Diani beach. It is here that you can experience African hospitality up close and at its best."
Best of Safari Tanzania & Kenya Complete,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_112.jpg,5455.0,"This trip allows you to visit the highlights of Tanzania and Kenya parks, going hand in hand with our team on the ground. They will lead you into the most beautiful destinations of Kenya and Tanzania. They have in-depth knowledge for the wildlife; flora and fauna that you will encounter along the safari trails. You will live unique sunrises, travelling through kilometers of landscapes that will leave you speechless, and you will sleep to the lullaby of the stars of the African night."
Best of Safari Tanzania & Kenya Complete,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Serengeti_National_Park_016.jpg,4130.0,"This trip allows you to visit the highlights of Tanzania and Kenya parks, going hand in hand with our team on the ground. They will lead you into the most beautiful destinations of Kenya and Tanzania. They have in-depth knowledge for the wildlife; flora and fauna that you will encounter along the safari trails. You will live unique sunrises, travelling through kilometers of landscapes that will leave you speechless, and you will sleep to the lullaby of the stars of the African night."
Tsavo East National & Taita Hills,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Tsavo_West_National_Park_002.jpg,440.0,"A stop over at the Tsavo East National Park for a brief game drive before heading to Taita Hills, will give you the true sample of adventure. The later accommodation is on stilts and has an underground tunnel with 360 degrees wildlife viewing. This area was the battle field in the second world war."
Gorillas & the Big Five,https://cloudfront.safaribookings.com/library/operators/desktop/227264921_110511717992691_5723484421035385056_n_5081_62d827302cf0d.1184x259-204.jpg,15160.0,"This truly memorable holiday is for those wanting the bucket-list experiences of an authentic Kenyan safari and the chance to track the rare mountain gorilla in the equatorial forests of Rwanda. From the plains of Masai Mara to the towering mountains of Volcanoes National Park, your whirlwind tour features East Africa's two most popular destinations. Of course, there are five rounds of superb golf in the capital cities of Nairobi and Kigali, too—each with unique and distinct flavours!"
"Nairobi Park, Shedrick's Centre and Carnivore",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Giraffe_Manor_002.jpg,252.0,"This is a short safari tour of the only park within the capital city in the whole world, David Shedricks's Centre, an elephant Orphanage Centre and lastly enjoy a bite of African meet at carnivore restaurant. It's a safari suitable for people who have no much time to go away from the city or have a transit flight to other parts of the world via Nairobi Kenya and have the interest to tour and enjoy the Kenyan wild nature. One can be picked and droped back at the airport or place of residence."
Masai Mara Wildebeest Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_081.jpg,298.0,"This adventurous two-day safari is designed for travelers who are passing through and have limited time, but want to see the best that Africa has to offer. From the magnificent Big Five to the great wildebeest migration, from the vast plains to the stunning sunsets and starlit night sky, the Mara has something to offer everyone. Make sure you experience this magical place and create memories that will last a lifetime. Make your trip to Africa count, even if only for a day."
Nairobi National Park Memorable Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Lewa_Wildlife_Conservancy_035.jpg,203.0,"The Nairobi National Park is the only national park located within a city. A half day safari from Nairobi is the best short trips you can have with Kenya Daily tours. Find Nairobi National Park and wildlife safari packages you can book while visiting Nairobi. We can pick you up from homes, hotels, apartments, guest houses, Nairobi Wilson and Jomo Kenyatta International Airport you can book a morning or afternoon tour. Guides have knowledge of wildlife have over 8 years experience in guiding."
Lake Nakuru and Masai Mara,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_118.jpg,1205.0,"This is a 4-Day, 3-Night Road Safari tour visiting the Lake Nakuru National Park and the world’s famous Masai mara National reserve. This tour is private and will be staying at the Sarova Lion Hill Lodge in Nakuru and Ashnil Mara Camp. Accommodation on the tour can be customised. Masai mara is famous for the Big cats and the wildebeest migration while Lake Nakuru is home to the rhinoceros, high chances of seeing leopards and the thousands of flamingos, other bird species and mammals."
The Ultimate Kenya & Rwanda Golf Safari,https://cloudfront.safaribookings.com/library/operators/desktop/1627474459010_5081_62d6c68fd74f7.1184x259-450.jpg,14672.0,"This truly memorable holiday is for those wanting the bucket-list experiences of an authentic Kenyan safari and the chance to track the rare mountain gorilla in the equatorial forests of Rwanda. From the plains of Masai Mara to the towering mountains of Volcanoes National Park, your whirlwind tour features East Africa's four most popular destinations. Of course, there are four rounds of superb golf in the capital cities of Nairobi and Kigali, too - each with unique and distinct flavors!"
Kenya Safari and Zanzibar Holiday,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_112.jpg,4335.0,"This luxury holiday offers first-class safari experience in the Masai Mara in Kenya, where you’ll enjoy exciting game drives with highly experienced local guides. You’ll stay at an exclusive camp set in a breathtaking location, right in the heart of the action. Following your spectacular safari, you will be flown to Zanzibar's historic capital Stone Town, to soak up their fascinating culture and history. End your holidays with the utmost relaxation on Zanzibar's pristine coast."
Masai Mara Midrange Game Package,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_021.jpg,578.0,"The Masai Mara plains are full of wildebeest during migration season (early July to the end of September). Zebra, impala, topi, giraffe, and Thomson’s gazelle are regularly seen as leopards, lions, hyenas, cheetahs, jackals, and bat-eared foxes angle for a kill. Black rhinos are timid and hard to spot but are occasionally spotted. Hippos are abundant in the Mara River, as are giant Nile crocodiles, who lay in wait for a meal as the wildebeest cross on their annual quest to find new pastures."
"Lake Naivasha, Lake Nakuru & Maasai Mara Mid-Range",https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Maasai_Village_004.jpg,1220.0,"This tour allows you to traverse on the floor of the Great Rift Valley as you head to Lake Naivasha and Lake Nakuru National Park which are home animal species that include buffalos, giraffes, waterbucks, lions, impalas as well as many bird species. Later you proceed to the famous Maasai Mara National Reserve which is one one of Africa’s Greatest Wildlife Reserves and famous for its annual wildebeest migration. You can see all the BIG FIVE here."
Maasai Mara Small Group Safari - Jambo Mara Lodge,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_034.jpg,480.0,Experience a safari that covers Kenya's best parks. Maasai Mara Reserve is the most popular tourism destination in Kenya. Located in the Great Rift Valley in primarily open grassland. Wildlife is most concentrated on the reserve’s western escarpment. It is regarded as the jewel of Kenya’s wildlife Viewing areas.
"Amboseli, Lake Naivasha, Lake Nakuru & Masai Mara",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_039.jpg,2130.0,"On this 8 Day Safari you will be visiting Amboseli, stay at the Oltukai Lodge, this lodge offers spectacular views of Mt. Kilimanjaro. Proceed to Lake Naivasha for an afternoon of activities around the Lake as well as a visit to the Crescent Island. Lake Nakuru is famed for its large flocks of flamingos and the black and white rhinoceros among other herbivores. Stay at the Sarova Lion Hill Lodge. End your safari in the Masai mara where you will spend three Nights staying at mid range camp/lodge."
Mombasa Coastal Explorer,https://i.imgur.com/E4Xiiys.png,220.0,"Explore the beautiful coastal treasures of Mombasa. From pristine beaches to vibrant markets, this adventure offers a taste of the coastal life."
Mombasa Cultural Delight,https://i.imgur.com/Bonjsdh.png,321.0,"Immerse yourself in the rich Swahili culture of Mombasa. Your experienced host, Abdul, will take you on a journey of traditional music, cuisine, and historic sites."
Mombasa Wildlife Safari,https://i.imgur.com/iYyP6G0.png,215.0,Embark on an unforgettable wildlife safari in the heart of Mombasa's wilderness. Our expert guide will lead you to encounter majestic creatures in their natural habitat.
Mombasa Beach Paradise,https://i.imgur.com/gmxprr0.jpg,320.0,"Experience the epitome of luxury on Mombasa's pristine beaches. Indulge in lavish accommodations, gourmet dining, and beachfront relaxation."
Mombasa Island Retreat,https://i.imgur.com/8xXiQll.png,425.0,"Escape to an exclusive island retreat in Mombasa. Enjoy private villas, water sports, and gourmet dining in a tropical paradise."
Nairobi Safari Expedition,https://independenttravelcats.com/wp-content/uploads/2022/05/Nairobi-National-Park-6.jpg,210.0,Embark on a thrilling safari adventure in Nairobi National Park. Witness incredible wildlife up close and enjoy a comfortable safari camp stay.
Nairobi Cultural Exploration,https://editions.thediscoverer.com/97/images/3.jpg,170.0,"Discover the rich cultural diversity of Nairobi. Explore local traditions, cuisines, and vibrant markets in the heart of the city."
Nairobi Wildlife Conservation,https://www.andbeyond.com/wp-content/uploads/sites/5/giraffe-and-sky-line-nairobi.jpg,180.0,Participate in wildlife conservation efforts in Nairobi. Get up close with endangered species and contribute to their protection.
Nairobi Culinary Safari,https://migrationology.com/wp-content/uploads/2011/06/best-kenyan-food-dishes.jpg,170.0,"Embark on a culinary journey through Nairobi. Savor diverse cuisines, street food, and visit bustling markets."
Nairobi Art & Culture Tour,https://static01.nyt.com/images/2018/06/13/arts/13NAIROBI-INYTadd1/merlin_139267578_192390c2-6a01-412d-8be8-17c1c49b24e7-superJumbo.jpg,135.0,"Explore Nairobi's vibrant art scene and cultural heritage. Visit museums, galleries, and interact with local artists."
Diani Beach Retreat,https://cf.bstatic.com/xdata/images/hotel/max1024x768/59021275.jpg?k=41542e2fb664cd32a35009d0e13ba40de2d2fd5f5a5e75a783add0be0eaadd73&o=&hp=1,195.0,"Escape to the pristine beaches of Diani. Enjoy sun, sand, and the beauty of the Indian Ocean."
Diani Safari and Beach Combo,https://visitdiani.com/wp-content/uploads/sites/14/2020/06/dianidhow4.jpg,195.0,Experience the best of both worlds with a safari adventure and relaxing beach stay in Diani.
Diani Water Sports Extravaganza,https://www.thesandsatnomad.com/wp-content/uploads/2019/06/Watersports5_1600x900-1030x579.jpg,220.0,Dive into thrilling water sports and enjoy the crystal-clear waters of Diani Beach.
Diani Wellness Retreat,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/37/71/fd/neptune-village-beach.jpg?w=700&h=-1&s=1,210.0,"Rejuvenate your mind, body, and soul with a wellness retreat on the serene beaches of Diani."
Malindi Coastal Exploration,https://yellowzebrasafaris.com/media/46756/aerial-view-hemingways-watamu-malindi-and-watamu-beach-kenya.jpg?anchor=center&mode=crop&width=2048&height=1024&format=jpg&rnd=132768716060000000,185.0,"Embark on a coastal adventure in the beautiful town of Malindi, known for its pristine beaches and rich history."
Malindi Marine Safari,https://ichef.bbci.co.uk/news/976/cpsprodpb/1799C/production/_117386669_img_2065_976549.png,180.0,Explore the underwater wonders of Malindi's marine life on an exciting safari in the Indian Ocean.
Malindi Cultural Immersion,https://eastafricanretreats.com/wp-content/uploads/2022/11/001-Beach-Palazzo-750x430.jpg,165.0,"Experience the vibrant culture of Malindi through its traditions, music, and delicious cuisine."
Watamu Coastal Retreat,https://ajkenyasafaris.com/wp-content/uploads/2023/05/watamu-beaches-bg1.webp,235.0,"Relax and unwind on the pristine beaches of Watamu. Enjoy water sports, seafood, and the tranquil atmosphere."
Watamu Island Paradise,"https://res.cloudinary.com/enchanting/q_70,f_auto,c_fill,g_face/hj-web/2020/10/Hemingways-Watamu-Property-View-004-113752.jpg",214.0,"Embark on a journey to Watamu Island and experience its unspoiled beauty, marine life, and water sports."
Lamu Island Serenity,https://www.awaygowe.com/wp-content/uploads/2021/12/lamu-island-featured.webp,195.0,"Experience the tranquility of Lamu Island, its rich culture, and pristine beaches."
Lamu Cultural Odyssey,https://www.lamuholiday.com/swahili-culture/swahili-festivals/festivals01.jpg,167.0,"Immerse yourself in Lamu's unique culture, history, and traditions."
Lamu Island Paradise Retreat,https://themajlisresorts.com/wp-content/uploads/2022/11/12-kusi-villa-pool-majlis-hotel-lamu-1.jpg,293.0,Escape to a secluded paradise on Lamu Island and rejuvenate your soul.
Lamu Sailing Expedition,https://images.squarespace-cdn.com/content/v1/5b9a6a52a9e02884bac7536b/1562333796955-0TJHEBCEUVXJG2PGUE59/thefort_rosalia_7354.jpg?format=1000w,298.0,Embark on a sailing adventure in Lamu's turquoise waters and discover hidden gems.
Kilifi Beach Getaway,https://images.squarespace-cdn.com/content/v1/52396ab1e4b02402dcc9d0fb/1479110334390-U5VDH0F569P9QW0CEVLW/IMG_2697.jpg,270.0,Relax on the stunning beaches of Kilifi and immerse yourself in coastal beauty.
Kilifi Coastal Safari,https://shanzubeachfront.com/wp-content/uploads/2023/03/kilifi-jpg.webp,270.0,Embark on a coastal safari adventure in Kilifi and discover hidden treasures.
Kilifi Cultural Immersion,https://farm9.staticflickr.com/8471/29811541075_9636300110_o.jpg,160.0,"Experience the rich culture of Kilifi through food, dance, and local traditions."
